cause,year,source,rfreq
kidney disease,2002,cdc,0.01938476588842273
kidney disease,2002,google,NA
kidney disease,2003,nyt,0.0033338984008589026
kidney disease,2003,cdc,0.02013789773732953
kidney disease,2003,google,NA
kidney disease,2004,nyt,0.002430696220846114
kidney disease,2004,cdc,0.02061032349226848
kidney disease,2004,google,0.080060139
kidney disease,2005,nyt,0.0033199699323477826
kidney disease,2005,cdc,0.02093883690173293
kidney disease,2005,google,0.083158421
kidney disease,2006,nyt,0.002852860113147333
kidney disease,2006,cdc,0.02183094481744821
kidney disease,2006,google,0.090982194
kidney disease,2007,nyt,0.002023825950968217
kidney disease,2007,cdc,0.02242610145957742
kidney disease,2007,google,0.092756979
kidney disease,2008,nyt,0.0036174294327212934
kidney disease,2008,cdc,0.02297889377732685
kidney disease,2008,google,0.094291811
kidney disease,2009,nyt,0.0034965034965034965
kidney disease,2009,cdc,0.0236967591244654
kidney disease,2009,google,0.097584019
kidney disease,2010,nyt,0.002621661477961658
kidney disease,2010,cdc,0.02436387521248498
kidney disease,2010,google,0.104384724
kidney disease,2011,nyt,0.0034670364838916153
kidney disease,2011,cdc,0.02216518378358449
kidney disease,2011,google,0.09951732
kidney disease,2012,nyt,0.0033465335489988287
kidney disease,2012,cdc,0.02229009128772181
kidney disease,2012,google,0.107992592
kidney disease,2013,nyt,0.0035421217309168193
kidney disease,2013,cdc,0.02279800427043975
kidney disease,2013,google,0.113481229
kidney disease,2014,nyt,0.002825707930018638
kidney disease,2014,cdc,0.02321158048262592
kidney disease,2014,google,0.108663333
kidney disease,2015,nyt,0.0024911995667479016
kidney disease,2015,cdc,0.02354415386904622
kidney disease,2015,google,0.115949702
kidney disease,2016,nyt,0.0017528109101791287
kidney disease,2016,cdc,0.0235983317178748
kidney disease,2016,google,0.118243243
overdose,1999,nyt,0.002874743326488706
overdose,1999,cdc,0.00554246929605727
overdose,1999,google,NA
overdose,2000,nyt,0.0018552875695732839
overdose,2000,cdc,0.00579611768704144
overdose,2000,google,NA
overdose,2001,nyt,0.0013193281575074847
overdose,2001,cdc,0.00638927176008143
overdose,2001,google,NA
overdose,2002,nyt,0.0011283359497645212
overdose,2002,cdc,0.0078900376024356109
overdose,2002,google,NA
overdose,2003,nyt,0.0013561620613663332
overdose,2003,cdc,0.0087630683755333
overdose,2003,google,NA
overdose,2004,nyt,0.0017940853058626078
overdose,2004,cdc,0.00964885535559831
overdose,2004,google,0.04294305599999999
overdose,2005,nyt,0.001816587321473315
overdose,2005,cdc,0.0107192684500949
overdose,2005,google,0.062868566
overdose,2006,nyt,0.001257192592234418
